year;month;day;temp_max;temp_min;was_raining_previous_day
2020;04;06;16;5;0
2020;04;07;18;6;0
2020;04;08;19;9;0
2020;04;09;18;10;0
2020;04;10;12;5;0
2020;04;11;13;5;0
2020;04;12;17;6;1
2020;04;13;14;4;0
2020;04;14;7;1;0
2020;04;15;8;2;0
2020;04;16;14;6;0
2020;04;17;12;5;0
2020;04;18;11;2;0
2020;04;19;11;4;0
2020;04;20;12;2;0
2020;04;21;12;4;0
2020;04;22;13;5;0
2020;04;23;17;7;0
2020;04;24;18;9;1
2020;04;25;12;7;0
2020;04;26;14;4;0
2020;04;27;16;6;0
2020;04;28;20;9;1
2020;04;29;20;9;0
2020;04;30;17;7;1
2020;05;01;16;8;0
2020;05;02;17;8;1
2020;05;03;12;9;0
2020;05;04;16;8;1
2020;05;05;13;8;1
2020;05;06;15;6;0
2020;05;07;15;5;0
2020;05;08;16;6;0
2020;05;09;18;8;0
2020;05;10;22;11;1
2020;05;11;23;15;1
2020;05;12;12;2;0
2020;05;13;12;5;1
2020;05;14;14;5;0
2020;05;15;15;6;0
2020;05;16;14;6;0
2020;05;17;17;7;0
2020;05;18;15;10;1
2020;05;19;15;11;0
2020;05;20;15;8;0
2020;05;21;13;4;0
2020;05;22;15;3;0
2020;05;23;18;8;1
2020;05;24;16;11;1
2020;05;25;17;11;1
2020;05;26;19;9;1
2020;05;27;20;10;1
2020;05;28;17;12;1
2020;05;29;17;9;1
2020;05;30;11;7;1
2020;05;31;17;11;0
2020;06;01;16;10;1
2020;06;02;17;8;1
2020;06;03;16;9;0
2020;06;04;21;10;1
2020;06;05;21;14;0
2020;06;06;22;13;1
2020;06;07;25;15;1
2020;06;08;25;15;0
2020;06;09;19;14;0
2020;06;10;22;14;1
2020;06;11;28;18;1
2020;06;12;30;20;0
2020;06;13;28;20;0
2020;06;14;21;16;0
2020;06;15;23;13;0
2020;06;16;24;15;1
2020;06;17;25;16;1
2020;06;18;27;18;1
2020;06;19;28;19;1
2020;06;20;26;20;1
2020;06;21;27;19;1
2020;06;22;24;18;1
2020;06;23;23;15;1
2020;06;24;23;16;1
2020;06;25;25;17;0
2020;06;26;26;18;1
2020;06;27;26;18;1
2020;06;28;28;19;1
2020;06;29;21;17;1
2020;06;30;23;15;1
2020;07;01;25;15;1
2020;07;02;27;19;1
2020;07;03;24;19;0
2020;07;04;25;16;0
2020;07;05;25;18;1
2020;07;06;23;18;0
2020;07;07;18;14;0
2020;07;08;18;13;1
2020;07;09;20;11;1
2020;07;10;27;16;1
2020;07;11;15;5;0
2020;07;12;21;10;1
2020;07;13;19;12;0
2020;07;14;22;13;0
2020;07;15;24;14;1
2020;07;16;20;16;1
2020;07;17;21;14;1
2020;07;18;25;17;0
2020;07;19;26;17;1
2020;07;20;28;18;1
2020;07;21;22;16;0
2020;07;22;21;14;0
2020;07;23;21;13;1
2020;07;24;23;14;0
2020;07;25;26;17;1
2020;07;26;28;17;1
2020;07;27;25;18;0
2020;07;28;29;19;1
2020;07;29;25;19;0
2020;07;30;21;15;0
2020;07;31;21;14;0
2020;08;01;23;14;0
2020;08;02;25;16;1
2020;08;03;20;16;1
2020;08;04;23;17;0
2020;08;05;23;14;0
2020;08;06;26;15;0
2020;08;07;29;18;0
2020;08;08;29;20;0
2020;08;09;30;21;1
2020;08;10;28;21;0
2020;08;11;27;19;0
2020;08;12;25;15;0
2020;08;13;26;17;0
2020;08;14;26;17;0
2020;08;15;25;17;0
2020;08;16;26;17;1
2020;08;17;27;17;1
2020;08;18;28;19;0
2020;08;19;26;19;0
2020;08;20;26;17;0
2020;08;21;30;19;0
2020;08;22;31;20;1
2020;08;23;25;19;0
2020;08;24;23;17;0
2020;08;25;23;17;0
2020;08;26;25;16;1
2020;08;27;17;11;0
2020;08;28;20;14;1
2020;08;29;22;16;1
2020;08;30;29;17;1
2020;08;31;19;15;1
2020;09;01;16;13;1
2020;09;02;17;12;0
2020;09;03;19;12;0
2020;09;04;18;13;1
2020;09;05;24;15;1
2020;09;06;20;14;1
2020;09;07;19;14;0
2020;09;08;20;12;0
2020;09;09;22;15;0
2020;09;10;18;15;0
2020;09;11;20;13;0
2020;09;12;24;13;0
2020;09;13;22;16;0
2020;09;14;24;15;0
2020;09;15;29;19;0
2020;09;16;27;17;0
2020;09;17;17;11;0
2020;09;18;18;9;0
2020;09;19;19;12;0
2020;09;20;19;11;0
2020;09;21;24;12;0
2020;09;22;25;15;0
2020;09;23;26;15;1
2020;09;24;24;17;1
2020;09;25;24;16;1
2020;09;26;20;16;1
2020;09;27;10;5;0
2020;09;28;17;7;0
2020;09;29;17;12;1
2020;09;30;14;11;1
2020;10;01;15;12;1
2020;10;02;16;12;1
2020;10;03;21;13;1
2020;10;04;24;17;1
2020;10;05;19;13;1
2020;10;06;17;12;0
2020;10;07;15;12;0
2020;10;08;14;11;0
2020;10;09;16;11;1
2020;10;10;17;12;1
2020;10;11;13;10;1
2020;10;12;10;7;1
2020;10;13;13;7;1
2020;10;14;11;2;1
2020;10;15;11;8;0
2020;10;16;10;6;1
2020;10;17;8;6;1
2020;10;18;8;6;0
2020;10;19;9;4;0
2020;10;20;10;5;0
2020;10;21;12;9;0
2020;10;22;17;9;0
2020;10;23;15;13;1
2020;10;24;14;9;0
2020;10;25;15;10;0
2020;10;26;16;11;1
2020;10;27;15;11;0
2020;10;28;14;10;1
2020;10;29;13;9;1
2020;10;30;10;8;0
2020;10;31;10;6;0
2020;11;01;10;6;1
2020;11;02;12;9;0
2020;11;03;14;9;1
2020;11;04;9;7;0
2020;11;05;9;5;0
2020;11;06;10;5;0
2020;11;07;12;9;0
2020;11;08;12;7;0
2020;11;09;10;5;0
2020;11;10;8;4;0
2020;11;11;7;3;0
2020;11;12;8;4;1
2020;11;13;7;0;0
2020;11;14;8;4;1
2020;11;15;11;6;1
2020;11;16;9;2;1
2020;11;17;8;4;1
2020;11;18;10;5;0
